osm_id,building,street,house_number,levels,lat,lon
217453441,yes,Unknown,,1.0,59.94263731666666,30.26613718333333
217543936,yes,12-я линия В.О.,37,,59.94285714285714,30.26980552857143
217543937,apartments,12-я линия В.О.,37,3.0,59.94251952222222,30.269762
217543939,yes,11-я линия В.О.,40,1.0,59.942437175,30.2712799625
217543940,yes,11-я линия В.О.,42,3.5,59.94291615555556,30.27135268888889
217543943,yes,14-я линия В.О.,57-61 литЛ,3.0,59.942616455769226,30.26700184423077
217543954,yes,Unknown,,,59.94384504,30.269883
217543955,yes,Unknown,,,59.94373232,30.2699891
384420870,yes,Unknown,,,59.94383714000001,30.26566368
384420871,yes,Unknown,,,59.94373123333333,30.26579298333333
412561593,garage,Unknown,,1.0,59.94462228,30.2680809
412561594,garage,Unknown,,1.0,59.94463836,30.2681355
1253229765,apartments,10-11-я линии В.О.,56,7.0,59.94427438723404,30.26940435319149
1380595212,apartments,12-я линия В.О.,39 к2 с1,6.0,59.94329794705882,30.26918120588235
1380595213,apartments,12-я линия В.О.,41 к2 с1,6.0,59.94369494210526,30.268888738157894
23239550,school,Ставропольская улица,9,2.0,59.9496907375,30.38669095
30122853,yes,Суворовский проспект,65,4.0,59.94495007142857,30.38828211904762
30196885,apartments,Таврический переулок,12,5.0,59.9508556,30.386846144444444
30196953,yes,Таврический переулок,13,,59.95023035714286,30.38439791428572
30196954,apartments,Кавалергардская улица,19,5.0,59.94945815999999,30.3839821
30196956,residential,Кавалергардская улица,21,5.0,59.94982938333334,30.38327861666667
30196957,residential,Ставропольская улица,12/15,5.0,59.95002348181818,30.385301190909093
30196958,yes,Ставропольская улица,10,4.0,59.94965684666667,30.38514063333333
30197071,commercial,Кавалергардская улица,42Б,,59.95069612,30.38180474
30197072,residential,Кавалергардская улица,40,6.0,59.950205375,30.382419191666667
30197073,commercial,Кавалергардская улица,42А,5.0,59.95061708,30.38255512
30197074,yes,Кавалергардская улица,42 литН,1.0,59.95063790909091,30.3806259
30197075,apartments,Таврическая улица,45 литВ,5.0,59.94998822,30.37873948
30197076,residential,Таврическая улица,43,5.0,59.94950210833334,30.378821775
30197562,government,площадь Растрелли,2,,59.949932925,30.3890062875
30198278,yes,Таврическая улица,10,2.0,59.9493641,30.37784963333333
30198367,government,Тверская улица,11,3.0,59.94658299230769,30.383624046153844
30198368,school,Кавалергардская улица,9-11-13,4.0,59.9460501375,30.38327610625
30198369,school,Очаковская улица,2А литБ,4.0,59.94572809090909,30.3841174
30198370,yes,Очаковская улица,6,,59.94575,30.38534902
30198371,apartments,Одесская улица,2,7.0,59.946068832,30.386726172
30198372,yes,Тверская улица,15,,59.9459911,30.386058037837834
30198373,yes,Тверская улица,13,,59.94634645918367,30.38466143673469
30198374,yes,Тверская улица,15 литБ,7.0,59.946601975,30.385612235000004
30198391,apartments,Суворовский проспект,62,6.0,59.94609994864864,30.38879618918919
30198394,apartments,Тверская улица,23-25,5.0,59.946446112195126,30.387837904878047
30198411,yes,Шпалерная улица,53,,59.94839316666667,30.38728216666667
30198412,office,Лафонская улица,6,6.0,59.94765709523809,30.38894400952381
30198413,yes,Тверская улица,20,6.0,59.94715582083333,30.388072216666668
30198414,yes,Тверская улица,18,7.0,59.94716134705882,30.386691288235298
30198415,yes,Ставропольская улица,1,,59.94753892999999,30.38633258
30198416,yes,Шпалерная улица,53 литБ,,59.94796283125,30.3862929125
30198417,yes,Лафонская улица,6 литБ,,59.9479564,30.38747452
30350458,office,Шпалерная улица,51,5.0,59.94840752592592,30.38421021851852
30350461,yes,Шпалерная улица,51 литК,1.0,59.94808395,30.38319785
30350463,yes,Ставропольская улица,4,,59.94795967142857,30.38544227857143
30350466,apartments,Тверская улица,14,6.0,59.947424825,30.3841418625
30350467,apartments,Тверская улица,12/15,5.0,59.94712046,30.38366266
30350468,apartments,Тверская улица,16,6.0,59.94749519090909,30.385411959090906
30350469,apartments,Тверская улица,16,5.0,59.94710497333334,30.38518103333333
30350470,apartments,Тверская улица,16,5.0,59.947395625,30.3848355125
30350806,yes,Суворовский проспект,56,8.0,59.945210710000005,30.38643536
30350808,church,Очаковская улица,9,4.0,59.94511056666666,30.38607561111111
30350811,apartments,Очаковская улица,5,7.0,59.94510242916667,30.3853192125
30350815,apartments,Очаковская улица,3,5.0,59.94523357142857,30.38420304285714
45236719,office,Тверская улица,8Б,4.0,59.947411288888894,30.38107053333333
45730220,apartments,Тверская улица,3/1,7.0,59.94669958888889,30.380406627777777
45730221,apartments,Калужский переулок,7,8.0,59.94602170769231,30.380693953846155
74282546,residential,Кавалергардская улица,30,7.0,59.94731803636364,30.382216645454545
74282547,hospital,Кавалергардская улица,26,6.0,59.94635096363636,30.382061722727272
74282549,apartments,Калужский переулок,9,6.0,59.945285180000006,30.38068100666667
83187841,yes,Unknown,,,59.94760184285714,30.380410557142856
86217481,school,Кавалергардская улица,7,4.0,59.9451426375,30.3832412875
86217484,apartments,Тверская улица,14,5.0,59.94715481875,30.38417058125
86217486,apartments,Тверская улица,27-29,5.0,59.946426538888886,30.38854744444445
86217489,apartments,Тверская улица,7,7.0,59.946714625,30.3819504875
86217491,yes,Тверская улица,5,3.0,59.9466586,30.38160024
86217492,apartments,Тверская улица,10,6.0,59.9470791875,30.381873425
86217494,apartments,Тверская улица,12/15 литБ,6.0,59.94737704285715,30.383360064285714
112010951,apartments,Таврическая улица,45,6.0,59.94964273617022,30.38006892340425
112044973,yes,Таврическая улица,29 литБ,,59.9456296,30.379389816666663
